"Name","Phone","Address"

"The JSK Roadlines","+ 91  9316807451","Plot Number-28, patahka markert, Amritsar - 143001, Transport Nagar, Jahazgarh"
"Sukhain Fire Service","+ 91  9914876819","Baba Deep Singh Avneu, Sun Sahib Road, Amritsar - 143001, Near Baba Kharak Singh"
"Faqir Chand Sharma Electric Co.","+ 91  183 2559246","Amritsar - 143001, Hall Bazar"
"Vinayak Traders","+ 91  183 2426775","Majitha Road, Amritsar - 143001"
"Sukhbir Singh Saini","+ 91  9876343144","Amritsar - 143001, Hall Gate"
"H.S. Builders","+ 91  9878217729","Shop Number-25, 3rd Floor, Nehru Shopping Complex, Lawrence Road, Amritsar - 143001"
"R Mahalaxmi Steel Trading Co.","+ 91  183 2540928","Amritsar - 143001, Hall Bazar"
"GOVINDA CONTRACTOR","+ 91  9780247798","Rattan singh chowk, Ranjit Avenue, Amritsar - 143001, Near Temptation"
"vinayak Traders","+ 91  183 5050101","308- Ganpati Tower Lawrance Road, Amritsar - 143001"
"Sharma Hardware & Sanitary Store","+ 91  183 2258170","Amritsar - 143001, Pratap Bazar Crossing"
"Balu contractor","+ 91  8556985448","Tarn taran road, Amritsar - 143001, Varpal pind mahima pandiri"
"sikander paint contractor","+ 91  8872022983","Gali no 2 hakima gate, Amritsar - 143001, Aangarh"
"Vikram contractor","+ 91  7837202089","Lohraka road, Amritsar - 143001, Near GT road byepass"
"PAWAN KUMAR POP","+ 91  8054142050","Trilium road, Amritsar - 143001, Near rattan singh road"
"Sharanjit contractor","+ 91  7837019321","Mahima pandori, Amritsar - 143001, Near tarn taran road"
"Ranjit contractor","+ 91  9914307783","Mahima pandori, Amritsar - 143001, Near Tarn Taran road"
"Kawal contractor","+ 91  9878095237","Gali no 1 house no 61 Guru ram dass nagar, kot khasla, Amritsar - 143001, near khasla college"
"Ranjit contractor","+ 91  7837509186","Near mahmia pandori, Amritsar - 143001, Tarn Taran road"
"Avtar singh labour & contractor","+ 91  9814318461","Tarn Taran Road Main, Amritsar - 143001, Village Mahima Pandori"
"PARKASH CONTRACTOR","+ 91  8559076932","Rattan singh chowk, Amritsar - 143001, Near Bye pass"
"SALINDER TILE CONTRACTOR","+ 91  9417074346","Rattan singh road, Ranjit Avenue, Amritsar - 143001, Near Temptation"
"Arch Associates","+ 91  7508510009","105, Chheharta, Amritsar - 143105, Ranjitpura"
"Thekedar Ajay Singh","+ 91  9915427080","Kale Road, Chheharta, Amritsar - 143105, Near Gayatri Mandir"
"Bau And Captain Thekedar","+ 91  9781545394","Bhangali, Amritsar - 143601, Pind Bhangali Khurd"
"A J Enterprise","+ 91  532 2552440","3,, Katra Sher Singh Dali Bazar, Allahabad - 143001
(Also serves AMRITSAR)"
"Amrit Hardware Store","+ 91  532 2543210","Goal Hatti Chowk,, Allahabad - 143001, Ram Bagh Bazar
(Also serves AMRITSAR)"
